,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual
2244,2011_43,51809.0,188741.0,52.04285757857143
2248,2011_44,51809.0,183282.0,50.537143164285716
2252,2011_45,51809.0,177796.0,49.02428545285714
2256,2011_46,51809.0,171224.0,47.21428571571429
2260,2011_47,51809.0,167445.0,46.171428680000005
2264,2011_48,51809.0,167792.0,46.267142705714285
2268,2011_49,51809.0,169550.0,46.751427785714284
2272,2011_5,51809.0,219975.0,60.65857206
2276,2011_50,51809.0,176865.0,48.770000458571424
2280,2011_51,51809.0,191376.0,52.770000458571424
2284,2011_52,51809.0,221457.0,53.431250095
2288,2011_6,51809.0,221908.0,61.191428048571424
2292,2011_7,51809.0,220218.0,60.722857341428565
2296,2011_8,51809.0,219197.0,60.44285746714286
2300,2011_9,51809.0,222429.0,61.33285740428572
2304,2012_1,51809.0,236654.0,57.0974996075
2308,2012_10,51809.0,305379.0,84.20428575857143
2312,2012_11,51809.0,301206.0,83.05428641285714
2316,2012_12,51809.0,298786.0,82.38714163714285
2320,2012_13,51809.0,298004.0,82.17000034857142
2324,2012_14,51809.0,300419.0,82.83857291000001
2328,2012_15,51809.0,298201.0,82.22428458142858
2332,2012_16,51809.0,294271.0,81.14285823285715
2336,2012_17,51809.0,288715.0,79.61000061142856
2340,2012_18,51809.0,282970.0,78.02571432857142
2344,2012_19,51809.0,277311.0,76.46571349857143
2348,2012_2,51809.0,232109.0,64.00142887714286
2352,2012_20,51809.0,272419.0,75.11714281285715
2356,2012_21,51809.0,267897.0,73.87000056714285
2360,2012_22,51809.0,263158.0,72.56285749142857
2364,2012_23,51809.0,257261.0,70.93857138428572
2368,2012_24,51809.0,252510.0,69.62714386142856
2372,2012_25,51809.0,247198.0,68.16285596714286
2376,2012_26,51809.0,240798.0,66.39571380571428
2380,2012_27,51809.0,235532.0,64.94571467857143
2384,2012_28,51809.0,232299.0,64.05428532
2388,2012_29,51809.0,227420.0,62.70857129714285
2392,2012_3,51809.0,240557.0,66.32999965142857
2396,2012_30,51809.0,221903.0,61.18714305142857
2400,2012_31,51809.0,215972.0,59.55285699
2404,2012_32,51809.0,208374.0,57.455714088571426
2408,2012_33,51809.0,201460.0,55.54999978285714
2412,2012_34,51809.0,194254.0,53.5628564
2416,2012_35,51809.0,188733.0,52.039999824285715
2420,2012_36,51809.0,181574.0,50.067141941428574
2424,2012_37,51809.0,173501.0,47.84142902999999
2428,2012_38,51809.0,163429.0,45.06428527857143
2432,2012_39,51809.0,155840.0,42.972856792857144
2436,2012_4,51809.0,250495.0,69.07142857142857
2440,2012_40,51809.0,148085.0,40.83142852714286
2444,2012_41,51809.0,140291.0,38.68428584428572
2448,2012_42,51809.0,134098.0,36.97571455
2452,2012_43,51809.0,127529.0,35.165714265714286
2456,2012_44,51809.0,122269.0,33.714285714285715
2460,2012_45,51809.0,117955.0,32.52571378428571
2464,2012_46,51809.0,116728.0,32.187143052857145
2468,2012_47,51809.0,118699.0,32.73142841714286
2472,2012_48,51809.0,123777.0,34.13142776285714
2476,2012_49,51809.0,123689.0,34.105714524285716
2480,2012_5,51809.0,264673.0,72.9800000857143
2484,2012_50,51809.0,122988.0,33.91142926857143
2488,2012_51,51809.0,121708.0,33.55857140714286
2492,2012_52,51809.0,148289.0,35.77750015125
2496,2012_6,51809.0,279554.0,77.08428519142856
2500,2012_7,51809.0,294486.0,81.20142800428572
2504,2012_8,51809.0,305093.0,84.12571498285715
2508,2012_9,51809.0,307287.0,84.73142787428571
2512,2013_1,51809.0,131432.0,31.7099998
2516,2013_10,51809.0,151034.0,41.64571380571429
2520,2013_11,51809.0,151228.0,41.69999967285714
2524,2013_12,51809.0,151387.0,41.74285670857143
2528,2013_13,51809.0,153702.0,42.38285664285714
2532,2013_14,51809.0,155897.0,42.987142291428576
