,Ano_sem,val_cargaenergiamwmed
800,2004_5,39921.29958333
804,2004_50,47538.22083333
808,2004_51,47410.60958334
812,2004_52,46527.12916667
816,2004_53,33777.08625
820,2004_6,41001.37166667
824,2004_7,42156.852083339996
828,2004_8,42667.93666668
832,2004_9,41232.00958333
836,2005_1,47200.92
840,2005_10,48747.85333333
844,2005_11,47596.48291668
848,2005_12,44947.477083339996
852,2005_13,46129.35874999
856,2005_14,47137.77583333
860,2005_15,47170.35458334
864,2005_16,46797.81791666
868,2005_17,47558.18791665
872,2005_18,45751.18666668
876,2005_19,46314.3975
880,2005_2,47321.55083333
884,2005_20,46339.41125
888,2005_21,45731.83208333
892,2005_22,44637.33958333
896,2005_23,44918.72166666
900,2005_24,45089.97166667
904,2005_25,44480.51791667
908,2005_26,44205.69125001
912,2005_27,44885.20416667
916,2005_28,44570.47958333
920,2005_29,45456.90958333
924,2005_3,47260.4625
928,2005_30,45263.00583334
932,2005_31,45060.61375
936,2005_32,45861.07833334
940,2005_33,46075.94791666
944,2005_34,46157.26000001
948,2005_35,46890.705416669996
952,2005_36,46441.21375
956,2005_37,47197.61583334
960,2005_38,48202.21625
964,2005_39,48685.70499999
968,2005_4,47559.43541666
972,2005_40,48735.02374998
976,2005_41,46952.407125
980,2005_42,48521.385583330004
984,2005_43,49206.84874999
988,2005_44,48030.68120834
992,2005_45,49245.75604167
996,2005_46,47681.00808333
1000,2005_47,49980.75208334
1004,2005_48,48791.139166659996
1008,2005_49,47718.48958334
1012,2005_5,47811.32416666
1016,2005_50,49012.6475
1020,2005_51,48312.4975
1024,2005_52,40777.24125
1028,2005_53,11527.51125
1032,2005_6,45186.13124999
1036,2005_7,46234.76208332
1040,2005_8,47388.045
1044,2005_9,48623.74166667
1048,2006_1,47577.26208334
1052,2006_10,49644.68791667
1056,2006_11,48692.12541668
1060,2006_12,48053.677083329996
1064,2006_13,48497.94
1068,2006_14,48207.551666679996
1072,2006_15,46317.34291667
1076,2006_16,46765.53000001
1080,2006_17,47572.73208334
1084,2006_18,46571.28750001
1088,2006_19,47311.04791667
1092,2006_2,48542.49000001
1096,2006_20,46302.31666667
1100,2006_21,45876.12125
1104,2006_22,45771.250833340004
1108,2006_23,46391.10999999
1112,2006_24,45469.46458333
1116,2006_25,44947.31083334
1120,2006_26,45019.39083334
1124,2006_27,45552.42083333
1128,2006_28,46159.35333333
1132,2006_29,45916.08470834
1136,2006_3,48693.40291667
1140,2006_30,46413.97045834
1144,2006_31,47412.38166666
1148,2006_32,47141.54083334
1152,2006_33,47165.47208333
1156,2006_34,48460.68416667
1160,2006_35,48564.13816667
1164,2006_36,47836.98500001
1168,2006_37,48973.85195833
1172,2006_38,49988.755416680004
1176,2006_39,49790.78416667
1180,2006_4,49917.15916666
1184,2006_40,50828.43374999
1188,2006_41,50171.26600001
1192,2006_42,51382.71291667
1196,2006_43,50068.12374999
1200,2006_44,49229.77416665
1204,2006_45,51662.475
1208,2006_46,49619.12958334
1212,2006_47,50614.30333334
1216,2006_48,51325.83104166
1220,2006_49,51553.69291666
1224,2006_5,49581.47124999
1228,2006_50,51832.73458334
1232,2006_51,51850.81987501
1236,2006_52,54985.520000000004
1240,2006_6,50153.53208335
1244,2006_7,49486.91833333
1248,2006_8,49282.295
1252,2006_9,46892.68583334
1256,2007_1,55940.31875001
1260,2007_10,49434.36629166
1264,2007_11,49563.67375
1268,2007_12,51181.79958333
1272,2007_13,51547.92541666
1276,2007_14,49898.49875
1280,2007_15,51610.82625001
1284,2007_16,49295.37333334
1288,2007_17,49486.35875
1292,2007_18,47576.04083334
1296,2007_19,49312.55666666
1300,2007_2,51856.85458333
1304,2007_20,49353.20791667
1308,2007_21,50020.19999999
1312,2007_22,49396.97125
1316,2007_23,48494.01291667
1320,2007_24,49111.23541667
1324,2007_25,48489.74291666
1328,2007_26,48593.415
1332,2007_27,48850.17083334
1336,2007_28,49299.42916667
1340,2007_29,49842.60875
1344,2007_3,52708.66333333
1348,2007_30,49516.89125
1352,2007_31,48570.66041667
1356,2007_32,49377.19749999
1360,2007_33,48495.42083333
1364,2007_34,49589.98500001
1368,2007_35,50212.28916667
1372,2007_36,49420.01375
1376,2007_37,50626.89333333
1380,2007_38,51638.68458333
1384,2007_39,52337.78958333
1388,2007_4,53487.05916667
1392,2007_40,52035.363750000004
1396,2007_41,51186.576250009995
1400,2007_42,52900.54125001
1404,2007_43,53897.45708334
1408,2007_44,53210.11416666
1412,2007_45,54625.81041667
1416,2007_46,53211.94916667
1420,2007_47,54115.45125
1424,2007_48,53754.15833334
1428,2007_49,54104.849166680004
1432,2007_5,53111.10000001
1436,2007_50,53481.82499999
1440,2007_51,53311.46416667
1444,2007_52,50203.33916666
1448,2007_6,52178.37458333
1452,2007_7,49779.01916665
1456,2007_8,45358.74708334
1460,2007_9,48157.07916665
1464,2008_1,64768.22999999
1468,2008_10,53346.82833334
1472,2008_11,53591.24791668
1476,2008_12,49223.01541666
1480,2008_13,51571.61583333
1484,2008_14,50689.189166669996
1488,2008_15,51576.49416667
1492,2008_16,52510.98416666
1496,2008_17,53016.97625001
1500,2008_18,52370.19833333
1504,2008_19,53231.90208334
1508,2008_2,53466.37291667
1512,2008_20,51873.52000001
1516,2008_21,51926.51833334
1520,2008_22,52427.80375
1524,2008_23,51503.62458332
1528,2008_24,51628.48708333
1532,2008_25,50869.55291666
1536,2008_26,48992.72333334
1540,2008_27,50106.86875001
1544,2008_28,50076.70166666
1548,2008_29,49529.87208332
1552,2008_3,51795.62750001
1556,2008_30,50220.40625001
1560,2008_31,50244.364583329996
1564,2008_32,51087.63208333
1568,2008_33,52099.99708334
1572,2008_34,52117.765833339996
1576,2008_35,52277.72708333
1580,2008_36,52584.264583330005
1584,2008_37,53288.89958334
1588,2008_38,53949.54958333
1592,2008_39,54041.77166667
1596,2008_4,52352.58274999
1600,2008_40,54197.556666669996
1604,2008_41,53490.85104167
1608,2008_42,54335.97333334
1612,2008_43,54969.25166667
1616,2008_44,55742.57416665
1620,2008_45,56259.81666667
1624,2008_46,54806.94291667
1628,2008_47,54792.70091667
1632,2008_48,54419.358333330005
1636,2008_49,53542.11916667
1640,2008_5,51491.97283334
1644,2008_50,52226.145833329996
1648,2008_51,52250.10541667
1652,2008_52,48353.95041667
1656,2008_6,50463.47429167
1660,2008_7,53531.64804167
1664,2008_8,53715.77125001
1668,2008_9,52717.56916666
1672,2009_1,26540.31333333
1676,2009_10,52132.99875001
1680,2009_11,53841.39041666
1684,2009_12,53624.06000001
1688,2009_13,53929.37791667
1692,2009_14,53784.57833334
1696,2009_15,51022.27041667
1700,2009_16,51160.47916666
1704,2009_17,50114.32958333
1708,2009_18,49625.04750001
1712,2009_19,50597.49791667
1716,2009_2,51830.81958334
1720,2009_20,50890.94874999
1724,2009_21,49957.18041666
1728,2009_22,50034.57875
1732,2009_23,49774.27250001
1736,2009_24,49176.2175
1740,2009_25,50497.695000010004
1744,2009_26,49020.63791666
1748,2009_27,49496.06791666
1752,2009_28,49121.52625
1756,2009_29,50882.0625
1760,2009_3,51998.76
1764,2009_30,51087.96458333
1768,2009_31,51019.06041666
1772,2009_32,51338.74875
1776,2009_33,50900.66583333
1780,2009_34,51800.10833332
1784,2009_35,52036.55666668
1788,2009_36,52782.2725
1792,2009_37,52304.84000001
1796,2009_38,54759.94916667
1800,2009_39,55619.8075
1804,2009_4,50747.10041666
1808,2009_40,55398.26041666
1812,2009_41,56298.53875
1816,2009_42,54464.955
1820,2009_43,56809.46541667
1824,2009_44,54239.43499999
1828,2009_45,54131.36083333
1832,2009_46,55760.72833333
1836,2009_47,56127.19083333
1840,2009_48,57547.41375001
1844,2009_49,56990.39749999
1848,2009_5,51680.34208332
1852,2009_50,57281.53291665
1856,2009_51,56944.85791666
1860,2009_52,53358.01125
1864,2009_53,31758.6325
1868,2009_6,52399.79750001
1872,2009_7,53820.05333333
1876,2009_8,51673.66416667
1880,2009_9,48266.5925
1884,2010_1,55309.37458333
1888,2010_10,60870.0325
1892,2010_11,60477.4375
1896,2010_12,58004.698749999996
