,Ano_sem,val_cargaenergiamwmed
3784,2019_13,74185.31605126
3788,2019_14,76113.64645834
3792,2019_15,77026.78183333999
3796,2019_16,75364.74804166
3800,2019_17,76358.08529167
3804,2019_18,75731.58008333
3808,2019_19,76836.65687501
3812,2019_2,75774.03175001
3816,2019_20,76144.99108333
3820,2019_21,75684.07995833
3824,2019_22,73875.30566666
3828,2019_23,72304.05162500001
3832,2019_24,69870.20529166001
3836,2019_25,68199.63174999
3840,2019_26,67612.52254166
3844,2019_27,70866.45258333
3848,2019_28,68602.93566667
3852,2019_29,68220.81970834
3856,2019_3,77053.09258333
3860,2019_30,67020.05070834
3864,2019_31,68474.41454166
3868,2019_32,67715.38441667
3872,2019_33,68394.69929166
3876,2019_34,68781.20908333
3880,2019_35,68299.04066666
3884,2019_36,69075.59129166
3888,2019_37,70784.79295834
3892,2019_38,71503.30554167
3896,2019_39,72405.44916666
3900,2019_4,78191.11954166999
3904,2019_40,72590.03179167
3908,2019_41,73157.11308334
3912,2019_42,74894.131375
3916,2019_43,76510.98791666
3920,2019_44,75985.54995833
3924,2019_45,78241.96512499
3928,2019_46,77797.34183334
3932,2019_47,77925.62354167001
3936,2019_48,77765.37233333
3940,2019_49,80701.43245831999
3944,2019_5,77510.98958333
3948,2019_50,78956.98641666
3952,2019_51,78564.60466667
3956,2019_52,75480.42922916
3960,2019_6,77324.106375
3964,2019_7,78730.41045833
3968,2019_8,79304.40566667
3972,2019_9,78787.79720834
3976,2020_1,50614.68391667
3980,2020_10,79626.92466666
3984,2020_11,76663.50854167
3988,2020_12,75128.81004166
3992,2020_13,67764.43820834
3996,2020_14,67892.12787501
4000,2020_15,68766.35470833999
4004,2020_16,67882.571625
4008,2020_17,64577.739041659996
4012,2020_18,64801.68979166
4016,2020_19,67331.93733334
4020,2020_2,76440.73970833
4024,2020_20,66375.81937499
4028,2020_21,66260.93258332
4032,2020_22,66436.94287499
4036,2020_23,66383.96633334
4040,2020_24,66099.72041667
4044,2020_25,65639.85566666
4048,2020_26,65762.84779166
4052,2020_27,67097.83095834
4056,2020_28,66788.51024999
4060,2020_29,67072.66412499
4064,2020_3,78278.53479167
4068,2020_30,66965.39304167
4072,2020_31,67945.805
4076,2020_32,67808.84912499
4080,2020_33,68580.72087501
4084,2020_34,69679.08854168
4088,2020_35,69187.042375
4092,2020_36,68959.75833333
4096,2020_37,69034.14562501
4100,2020_38,71007.19670833
4104,2020_39,73031.00924999
4108,2020_4,78054.58687500001
4112,2020_40,74633.305625
4116,2020_41,78105.11070833
4120,2020_42,76440.60033332
4124,2020_43,77826.90783333
4128,2020_44,77733.44029167
4132,2020_45,72932.96708333
4136,2020_46,75891.64683334
4140,2020_47,78334.76054166
4144,2020_48,75463.45858333
4148,2020_49,79171.11508333
4152,2020_5,77238.59908334
4156,2020_50,78654.64745834
4160,2020_51,80578.67524999
4164,2020_52,74878.67254166
4168,2020_53,43958.614916670005
4172,2020_6,77414.79604167
4176,2020_7,78399.56775001
4180,2020_8,76328.22379167
4184,2020_9,75979.17845834
4188,2021_1,80093.117625
4192,2021_10,82894.66558333
4196,2021_11,81298.44608333
4200,2021_12,79119.4005
4204,2021_13,78511.24145833
4208,2021_14,79042.06208333
4212,2021_15,77679.055
4216,2021_16,78669.13624999
4220,2021_17,75709.95441666999
4224,2021_18,75774.08691668
4228,2021_19,74645.74845833
4232,2021_2,78382.84579166
4236,2021_20,76262.59237500001
4240,2021_21,76743.49045833
4244,2021_22,76588.21595834
4248,2021_23,77492.64737501
4252,2021_24,77318.33270833999
4256,2021_25,75829.05025
4260,2021_26,75060.61241667
4264,2021_27,76008.76391667999
4268,2021_28,77414.39458332
4272,2021_29,77384.68679166
4276,2021_3,77098.33104168
4280,2021_30,79430.44241666
4284,2021_31,77619.729375
4288,2021_32,78465.221625
4292,2021_33,79255.33575
4296,2021_34,80333.246625
4300,2021_35,81150.0845
4304,2021_36,82630.38579167
4308,2021_37,84045.90116666
4312,2021_38,85201.16475
4316,2021_39,85967.14611107
4320,2021_4,78137.08625001
4324,2021_40,86597.88977958
4328,2021_41,84864.71509173
4332,2021_42,85985.58182223
4336,2021_43,83898.54380884
4340,2021_44,83104.98670834
4344,2021_45,82805.40095833
4348,2021_46,80452.46820834
4352,2021_47,86376.80995833
4356,2021_48,85175.15149999
4360,2021_49,82443.23658333
4364,2021_5,80166.34520834
4368,2021_50,82317.61995833
4372,2021_51,80860.84999999
4376,2021_52,55776.977604169995
4380,2021_53,30526.97533334
4384,2021_6,78985.83833333
4388,2021_7,77457.00591666
4392,2021_8,77499.840375
4396,2021_9,77801.09958333
4400,2022_1,78721.38745832999
4404,2022_10,82915.31454168
4408,2022_11,81856.60549999
4412,2022_12,78942.03720834
4416,2022_13,78852.69641666999
4420,2022_14,80117.13045833001
4424,2022_15,80401.39233333
4428,2022_16,78116.21658334
4432,2022_17,78060.20149999
4436,2022_18,77527.26045833
4440,2022_19,78558.64320834
4444,2022_2,78474.36983333
4448,2022_20,79974.88004167
4452,2022_21,75435.9291875
4456,2022_22,76170.00666667
4460,2022_23,74897.11745834
4464,2022_24,72831.16825
4468,2022_25,69948.09487499
4472,2022_26,70294.92979167
4476,2022_27,71360.37737499
4480,2022_28,74456.32554167
4484,2022_29,74150.25795834
4488,2022_3,80605.431875
4492,2022_30,75540.45441666999
4496,2022_31,75535.20058333
4500,2022_32,76558.95720833
4504,2022_33,74881.17629167
4508,2022_34,75059.61299999
4512,2022_35,73982.94841667
4516,2022_36,72711.95458334
4520,2022_37,77749.15695834
4524,2022_38,80750.07966667
4528,2022_39,78736.83775
4532,2022_4,79887.571375
4536,2022_40,81773.12358333
4540,2022_41,81037.25112500001
4544,2022_42,82608.56087501001
4548,2022_43,81727.02770834
4552,2022_44,81627.32091667
4556,2022_45,80005.179125
4560,2022_46,78835.66829167
4564,2022_47,80345.64295834
4568,2022_48,78020.63379168
4572,2022_49,78432.83854165
4576,2022_5,81872.39629168
4580,2022_50,82071.74741665
4584,2022_51,80260.39779166
4588,2022_52,86867.45829167
4592,2022_6,84170.69966667
4596,2022_7,82307.49554167
4600,2022_8,81073.320625
4604,2022_9,80345.82916667
4608,2023_1,78564.37404166
4612,2023_10,81816.87533333
4616,2023_11,82285.685
4620,2023_12,78255.9025
4624,2023_13,76797.13891666
4628,2023_14,76128.16587499
4632,2023_15,79452.53654167001
4636,2023_16,81134.91816666
4640,2023_17,81796.10387499
4644,2023_18,82012.24029166
4648,2023_19,86622.27899999
4652,2023_2,81552.862
4656,2023_20,83724.53125001
4660,2023_21,82025.79879166
4664,2023_22,83521.374
4668,2023_23,81495.73883333
4672,2023_24,82291.15691667
4676,2023_25,80083.07024999
4680,2023_26,80302.64545834
4684,2023_27,79967.58737499
4688,2023_28,81832.98708334
4692,2023_29,82206.12429166
4696,2023_3,81269.14262499
4700,2023_30,81830.53624999
4704,2023_31,83026.48237499999
4708,2023_32,83118.19179166
4712,2023_33,80289.404375
4716,2023_34,86115.43687501
4720,2023_35,86596.77441667
4724,2023_36,81928.77229166
4728,2023_37,85372.77808333
4732,2023_38,87840.44616667001
4736,2023_39,90302.41529166
4740,2023_4,81964.34116666
4744,2023_40,89800.53225001
4748,2023_41,90301.76083333
4752,2023_42,91758.14566668001
4756,2023_43,93875.80741667
4760,2023_44,93221.65883332
4764,2023_45,91895.41074999
4768,2023_46,96482.51791667
4772,2023_47,96217.05295833
4776,2023_48,94856.30741667
4780,2023_49,94601.43079278
4784,2023_5,82754.768125
4788,2023_50,93744.83
4792,2023_51,89524.63100001
4796,2023_52,100176.80291666
4800,2023_6,83216.41354167
4804,2023_7,84515.86754167
4808,2023_8,79811.19908334
4812,2023_9,82411.3155
4816,2024_1,89502.24170832
4820,2024_10,92606.27550001
4824,2024_11,95668.17370835
4828,2024_12,95800.32949999
4832,2024_13,91794.83325
4836,2024_14,94125.10958334
4840,2024_15,92061.78945833001
4844,2024_16,89485.89345834
4848,2024_17,90348.93229165999
4852,2024_18,89423.55345834
4856,2024_19,90412.789
4860,2024_2,92260.850375
4864,2024_20,91914.43183334
4868,2024_21,89350.84320833
4872,2024_22,85934.95433334
4876,2024_23,87320.49629167
4880,2024_24,85366.05941665
4884,2024_25,85215.288875
4888,2024_26,84524.39158334
4892,2024_27,85767.82925001
4896,2024_28,85208.52641667
4900,2024_29,85327.731
4904,2024_3,93977.21616666
4908,2024_30,85661.78250001
4912,2024_31,88576.65758333
4916,2024_32,88381.65070833
4920,2024_33,90023.92745833
4924,2024_34,91953.75379166
4928,2024_35,89522.1205
4932,2024_36,51919.87154167
4936,2024_4,92436.80583334
4940,2024_5,92248.96266665
4944,2024_6,94768.39554167
4948,2024_7,90516.597125
4952,2024_8,91586.81145833
4956,2024_9,93437.59891668
