,Ano_sem,NORDESTE
289,2007_10,17.59
290,2007_11,17.59
291,2007_12,17.59
292,2007_13,17.59
293,2007_14,17.59
294,2007_15,33.94
295,2007_16,34.95
296,2007_17,43.73
297,2007_18,32.28
298,2007_19,36.76
299,2007_2,17.59
300,2007_20,39.74
301,2007_21,119.72
302,2007_22,103.04
303,2007_23,116.57
304,2007_24,77.6
305,2007_25,83.66
306,2007_26,130.74
307,2007_27,131.97
308,2007_28,130.45
309,2007_29,117.02
310,2007_3,17.59
311,2007_30,61.67
312,2007_31,35.27
313,2007_32,37.68
314,2007_33,41.68
315,2007_34,61.83
316,2007_35,126.55
317,2007_36,131.01
318,2007_37,147.37
319,2007_38,186.48
320,2007_39,167.25
321,2007_4,17.59
322,2007_40,169.43
323,2007_41,205.77
324,2007_42,209.89
325,2007_43,237.66
326,2007_44,223.91
327,2007_45,181.42
328,2007_46,150.54
329,2007_47,169.55
330,2007_48,189.25
331,2007_49,212.2
332,2007_5,17.59
333,2007_50,200.48
334,2007_51,199.76
335,2007_52,247.01
336,2007_6,17.59
337,2007_7,17.59
338,2007_8,17.59
339,2007_9,17.59
340,2008_1,473.14
341,2008_10,125.59
342,2008_11,167.72
343,2008_12,80.48
344,2008_13,85.29
345,2008_14,113.25
346,2008_15,68.38
347,2008_16,48.28
348,2008_17,41.4
349,2008_18,29.36
350,2008_19,15.47
351,2008_2,569.59
352,2008_20,34.34
353,2008_21,51.16
354,2008_22,71.93
355,2008_23,76.2
356,2008_24,70.41
357,2008_25,76.83
358,2008_26,88.21
359,2008_27,91.37
360,2008_28,102.64
361,2008_29,110.35
362,2008_3,548.14
363,2008_30,146.3
364,2008_31,138.69
365,2008_32,118.13
366,2008_33,79.16
367,2008_34,71.61
368,2008_35,93.55
369,2008_36,106.08
370,2008_37,119.06
371,2008_38,121.65
372,2008_39,100.48
373,2008_4,550.28
374,2008_40,97.99
375,2008_41,75.46
376,2008_42,93.31
377,2008_43,99.48
378,2008_44,104.79
379,2008_45,118.37
380,2008_46,111.77
381,2008_47,92.69
382,2008_48,95.54
383,2008_49,103.51
384,2008_5,256.05
385,2008_50,113.15
386,2008_51,91.57
387,2008_52,74.11
388,2008_6,126.3
389,2008_7,180.33
390,2008_8,247.02
391,2008_9,135.46
392,2009_1,26.55
393,2009_10,77.26
394,2009_11,95.85
395,2009_12,91.91
396,2009_13,97.75
397,2009_14,30.65
398,2009_15,16.31
399,2009_16,16.31
400,2009_17,16.31
401,2009_18,36.36
402,2009_19,28.82
403,2009_2,61.3
404,2009_20,28.8
405,2009_21,29.6
406,2009_22,26.98
407,2009_23,25.56
408,2009_24,28.86
409,2009_25,30.27
410,2009_26,43.08
411,2009_27,30.4
412,2009_28,25.45
413,2009_29,17.32
414,2009_3,125.44
415,2009_30,21.5
416,2009_31,16.31
417,2009_32,16.31
418,2009_33,16.31
419,2009_34,16.31
420,2009_35,16.31
421,2009_36,16.31
422,2009_37,16.31
423,2009_38,16.31
424,2009_39,16.31
425,2009_4,107.59
426,2009_40,16.31
427,2009_41,16.31
428,2009_42,16.31
429,2009_43,16.31
430,2009_44,16.31
431,2009_45,16.31
432,2009_46,16.31
433,2009_47,16.31
434,2009_48,16.31
435,2009_49,16.31
436,2009_5,16.31
437,2009_50,16.31
438,2009_51,16.31
439,2009_52,16.31
440,2009_6,27.06
441,2009_7,43.46
442,2009_8,16.31
443,2009_9,61.01
444,2010_1,12.8
445,2010_10,25.68
446,2010_11,35.94
447,2010_12,38.26
448,2010_13,26.6
449,2010_14,20.63
450,2010_15,24.05
451,2010_16,23.32
452,2010_17,25.02
453,2010_18,30.6
454,2010_19,34.48
455,2010_2,12.8
456,2010_20,36.25
457,2010_21,56.48
458,2010_22,60.57
459,2010_23,59.8
460,2010_24,65.73
461,2010_25,110.68
462,2010_26,102.95
463,2010_27,98.66
464,2010_28,94.51
465,2010_29,89.21
466,2010_3,12.8
467,2010_30,105.68
468,2010_31,125.75
469,2010_32,118.4
470,2010_33,123.98
471,2010_34,154.88
472,2010_35,174.53
473,2010_36,171.77
474,2010_37,187.76
475,2010_38,246.32
476,2010_39,221.61
477,2010_4,12.8
478,2010_40,180.45
479,2010_41,257.54
480,2010_42,292.61
481,2010_43,148.25
