,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,ena_bruta_regiao_mwmed,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_mwmed,ena_armazenavel_regiao_percentualmlt,val_cargaenergiamwmed,EOLIELÉTRICA,FOTOVOLTAICA,HIDROELÉTRICA,TÉRMICA,NORDESTE
0,2001_26,49967.0,86275.0,24.66571453428572,2249.714285714286,50.40571430857143,2249.714285714286,50.40571430857143,4375.261309524286,0.0,0.0,73833.2,623.6,684.0
1,2001_27,49967.0,83856.0,23.975714002857146,2106.1428571428573,55.70142909428572,2106.1428571428573,55.70142909428572,4412.041071428571,0.0,0.0,74050.6,703.6142857142858,684.0
2,2001_28,49967.0,80822.0,23.10714312857143,1930.857142857143,51.0657147,1930.857142857143,51.0657147,4509.325595238572,0.0,0.0,75838.12857142858,1327.857142857143,684.0
3,2001_29,49967.0,78341.0,22.397142682857144,2048.0,54.16285705571429,2048.0,54.16285705571429,4514.44345238,0.0,0.0,75816.85714285714,1661.8857142857144,684.0
4,2001_30,49967.0,75390.0,21.55571419857143,1889.2857142857144,49.965714045714286,1889.2857142857144,49.965714045714286,4501.846428571428,0.0,0.0,74977.3857142857,1620.2428571428572,684.0
5,2001_31,49967.0,72225.0,20.64999989,1838.2857142857144,53.66857092428571,1838.2857142857144,53.66857092428571,4500.160119048572,0.0,0.0,74626.47142857143,1246.2428571428572,684.0
6,2001_32,49967.0,69156.0,19.77142879,1839.571428571429,55.74142837428571,1839.571428571429,55.74142837428571,4541.493452379999,0.0,0.0,75384.84285714287,1583.9142857142856,684.0
7,2001_33,49967.0,65747.0,18.795713968571427,1846.2857142857144,55.948571887142855,1846.2857142857144,55.948571887142855,4576.285714287143,0.0,0.0,77287.57142857143,993.4571428571428,684.0
8,2001_34,49967.0,62616.0,17.90142849571429,1839.142857142857,55.72857175714285,1839.142857142857,55.72857175714285,4651.471428572857,0.0,0.0,78945.71428571429,758.7428571428571,684.0
9,2001_35,49967.0,59217.0,16.931428911428572,1840.2857142857144,57.61857114428572,1839.0,57.575714111428574,4651.913095238572,0.0,0.0,80366.37142857142,1658.2485714285715,684.0
10,2001_36,49967.0,55552.0,15.882857185714286,1868.0,63.16142872428571,1868.0,63.16142872428571,4592.191666667143,0.0,0.0,75908.91428571429,1708.517142857143,684.0
11,2001_37,49967.0,52329.0,14.961428505714284,2035.4285714285716,68.82142911714286,2033.857142857143,68.76857158285715,4843.401785715714,0.0,0.0,85481.87142857142,1239.928571428571,684.0
12,2001_38,49967.0,48378.0,13.831428667142855,1960.4285714285716,66.28571428571429,1960.2857142857144,66.28142874714285,4825.437857142858,0.0,0.0,83659.54285714286,1221.7514285714285,562.15
13,2001_39,49967.0,44609.0,12.754285675714286,1920.2857142857144,64.92857033714286,1919.7142857142856,64.9099993,4852.6705357142855,0.0,0.0,83039.8,1308.3642857142856,562.15
