,TÉRMICA,TÉRMICA_1,PLD_1,TÉRMICA_2,PLD_2,PLD_3,PLD_4,PLD_5,PLD_6,val_cargaenergiamwmed_29,val_cargaenergiamwmed_30,val_cargaenergiamwmed_34,val_cargaenergiamwmed_35,val_cargaenergiamwmed_37,val_cargaenergiamwmed_40,Class
0,668.6742857142857,839.6042857142857,11.72,574.1085714285715,13.52,15.44,562.15,15.59,17.35,5038.4864285700005,5001.776904761428,4830.750535714286,4787.402916668571,4806.842440477143,4825.437857142858,muito_baixo
1,868.0157142857142,668.6742857142857,12.41,839.6042857142857,11.72,13.52,15.44,562.15,15.59,5086.663690478571,5038.4864285700005,4989.7897023814285,4830.750535714286,4875.846250001428,4852.6705357142855,muito_baixo
2,743.21,868.0157142857142,14.07,668.6742857142857,12.41,11.72,13.52,15.44,562.15,5118.060357142857,5086.663690478571,4930.925892855715,4989.7897023814285,4787.402916668571,5035.830714285715,muito_baixo
3,456.3571428571428,743.21,5.9,868.0157142857142,14.07,12.41,11.72,13.52,15.44,4812.976130952857,5118.060357142857,5018.420654762857,4930.925892855715,4830.750535714286,4806.842440477143,muito_baixo
4,410.04857142857145,456.3571428571428,5.75,743.21,5.9,14.07,12.41,11.72,13.52,4955.3266145825,4812.976130952857,5001.776904761428,5018.420654762857,4989.7897023814285,4875.846250001428,muito_baixo
5,449.6714285714285,410.04857142857145,5.54,456.3571428571428,5.75,5.9,14.07,12.41,11.72,5255.040654762857,4955.3266145825,5038.4864285700005,5001.776904761428,4930.925892855715,4787.402916668571,muito_baixo
6,261.4528571428572,449.6714285714285,4.86,410.04857142857145,5.54,5.75,5.9,14.07,12.41,5529.452976189999,5255.040654762857,5086.663690478571,5038.4864285700005,5018.420654762857,4830.750535714286,muito_baixo
7,267.4028571428572,261.4528571428572,4.0,449.6714285714285,4.86,5.54,5.75,5.9,14.07,5520.95047619,5529.452976189999,5118.060357142857,5086.663690478571,5001.776904761428,4989.7897023814285,alto
8,582.2457142857143,267.4028571428572,319.41,261.4528571428572,4.0,4.86,5.54,5.75,5.9,5243.035000001429,5520.95047619,4812.976130952857,5118.060357142857,5038.4864285700005,4930.925892855715,muito_baixo
9,608.5222285714286,582.2457142857143,4.0,267.4028571428572,319.41,4.0,4.86,5.54,5.75,5509.001011905714,5243.035000001429,4955.3266145825,4812.976130952857,5086.663690478571,5018.420654762857,muito_baixo
